abacus,abacuses|abaci,abacus's|abacus',abacuses'|abaci's
bersagliere,bersaglieri,bersagliere's,bersaglieri's
betony,betonies,betony's,betonies'
bevvy,bevvies,bevvy's,bevvies'
bevy,bevies,bevy's,bevies'
bhishti,bhishties,bhishti's,bhishties'
bibliography,bibliographies,bibliography's,bibliographies'
bibliotheca,bibliothecae,bibliotheca's,bibliothecae's
bibliotheca,bibliothecas,bibliotheca's,bibliothecas'
bicentennial,bicennaries,bicentennial's,bicennaries'
biceps,bicepses,biceps's|biceps',bicepses'
biddy,biddies,biddy's,biddies'
biddy-biddy,biddy-biddies,biddy-biddy's,biddy-biddies'
bigamy,bigamies,bigamy's,bigamies'
bigeye,bigeyes,bigeye's,bigeyes'
bighorn,bighorns,bighorn's,bighorns'
bijou,bijoux,bijou's,bijoux's
billet-doux,billets-doux,billet-doux's,billets-doux's
billfish,billfishes,billfish's,billfishes'
billion,billions,billion's,billions'
billy,billies,billy's,billies'
billycan,billycans,billycan's,billycans'
bimonthly,bimonthlies,bimonthly's,bimonthlies'
bingy,bingies,bingy's,bingies'
biography,biographies,biography's,biographies'
biopsy,biopsies,biopsy's,biopsies'
bioscopy,bioscopies,bioscopy's,bioscopies'
birdman,birdmen,birdman's,birdmen's
biro,biros,biro's,biros'
bisectrix,bisectrices,bisectrix's,bisectrices'
bistro,bistros,bistro's,bistros'
bivvy,bivvies,bivvy's,bivvies'
biweekly,biweeklies,biweekly's,biweeklies'
blackfish,blackfishes,blackfish's,blackfishes'
blackfly,blackflies,blackfly's,blackflies'
blackfoot,blackfeet,blackfoot's,blackfeet's
blasphemy,blasphemies,blasphemy's,blasphemies'
blastema,blastemas,blastema's,blastemas'
blastema,blastemata,blastema's,blastemata's
blastula,blastulae,blastula's,blastulae's
blastula,blastulas,blastula's,blastulas'
blaubok,blauboks,blaubok's,blauboks'
blenny,blennies,blenny's,blennies'
blesbok,blesboks,blesbok's,blesboks'
blesbuck,blesbucks,blesbuck's,blesbucks'
blindfish,blindfishes,blindfish's,blindfishes'
blowfish,blowfishes,blowfish's,blowfishes'
blowfly,blowflies,blowfly's,blowflies'
bluefish,bluefishes,bluefish's,bluefishes'
boarfish,boarfishes,boarfish's,boarfishes'
boatman,boatmen,boatman's,boatmen's
bobby,bobbies,bobby's,bobbies'
body,bodies,body's,bodies'
bogeyman,bogeymen,bogeyman's,bogeymen's
bogy,bogies,bogy's,bogies'
bola,bolas,bola's,bolas'
bolas,bolases,bolas's|bolas',bolases'
bolero,boleros,bolero's,boleros'
boletus,boleti,boletus's|boletus',boleti's
boletus,boletuses,boletus's|boletus',boletuses'
bolivar,bolivares,bolivar's,bolivares'
bolivar,bolivars,bolivar's,bolivars'
boliviano,bolivianos,boliviano's,bolivianos'
bolo,bolos,bolo's,bolos'
bolshevik,bolsheviki,bolshevik's,bolsheviki's
bolshevik,bolsheviks,bolshevik's,bolsheviks'
bolshie,bolshies,bolshie's,bolshies'
bolshy,bolshies,bolshy's,bolshies'
bolus,boluses,bolus's|bolus',boluses'
bondsman,bondsmen,bondsman's,bondsmen's
bonefish,bonefishes,bonefish's,bonefishes'
bontebok,bonteboks,bontebok's,bonteboks'
boo-boo,boo-boos,boo-boo's,boo-boos'
booby,boobies,booby's,boobies'
boohoo,boohoos,boohoo's,boohoos'
booklouse,booklice,booklouse's,booklice's
bookshelf,bookshelves,bookshelf's,bookshelves'
booth,booths,booth's,booths'
borax,boraces,borax's,boraces'
borax,boraxes,borax's,boraxes'
borborygmus,borborygmi,borborygmus's|borborygmus',borborygmi's
bordello,bordellos,bordello's,bordellos'
bordereau,bordereaux,bordereau's,bordereaux's
borzoi,borzois,borzoi's,borzois'
boschbok,bok,boschbok's,bok's
boschbok,boschboks,boschbok's,boschboks'
boschbok,bushbok,boschbok's,bushbok's
boschbok,bushboks,boschbok's,bushboks'
boss,bosses,boss's|boss',bosses'
botany,botanies,botany's,botanies'
botfly,botflies,botfly's,botflies'
bothy,bothies,bothy's,bothies'
botulinus,botulinuses,botulinus's|botulinus',botulinuses'
bowman,bowmen,bowman's,bowmen's
box_kodak,box-kodaks,box_kodak's,box-kodaks'
